,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
963,0.032919457793196494,0.03468821379437966,0.6607275292136836,0.09168620340766873,,,0.21754024653732648,,0.08768122288719427,,0.6030923271678105,,,,
588,0.03919039049344805,0.03479110446192709,0.8390187935939757,0.03377371815835378,,,0.1676503545657161,,0.05538092898347727,,,0.7431949982924528,,,
347,0.04785760030126373,0.042589764832449466,0.8888896299427259,0.043931622874007405,,,0.21634973764476656,,0.03136709022282701,,,,0.708351549258399,,
582,0.05437493082986561,0.052021887871527714,0.8530050070357521,0.033607918712714485,,,0.30973445611302836,,0.0031631323539355557,,,,,0.6534944928203216,
311,0.0654037379916152,0.06304931989457356,0.8787364888988057,0.1260749676815137,,,0.34149616402233735,,0.01877574509869898,,,,,,0.51365312319745
273,0.029233787553616906,0.03043360739154374,0.6319917092365853,0.03020611791485606,,,0.26477621499187226,,,0.0989927692163415,0.6060248978769301,,,,
437,0.04242332933041308,0.04161601453206001,0.7791070263452283,0.11471269425586023,,,0.2969436020759451,,,0.0011881154188551149,,0.5871555882493396,,,
794,0.04427423334054756,0.03967926911108096,0.8637818717022694,0.023616686174632723,,,0.1716551033630911,,,0.08157096533168169,,,0.7231572451305944,,
125,0.054178939847530305,0.05189909607410373,0.8512468075445812,0.039453452890690716,,,0.3345157285540679,,,0.004461985427223778,,,,0.6215688331280175,
256,0.06448988396208964,0.06258909509328518,0.8705970885323686,0.07866582876522352,,,0.27941476278884136,,,0.059784674375756776,,,,,0.5821347340701782
560,0.03959498040928489,0.035105252293785076,0.8430356848489106,0.055498437194797794,,,0.20137982434581173,,,,0.0004223112302618182,0.7426994272291286,,,
211,0.04313624364178302,0.038344428963767434,0.8641736110634024,0.05765184624640915,,,0.23935276883394263,,,,0.19844851562436083,,0.5045468692952874,,
986,0.048015544579297464,0.045044660559795294,0.843952293276427,0.044318228931557506,,,0.26457449845374825,,,,0.18663710450308899,,,0.5044701681116053,
893,0.06189105425610743,0.05883348261498191,0.8819986842474187,0.12411361764266551,,,0.2921506805683426,,,,0.09302979869192493,,,,0.49070590309706696
774,0.042861012089820995,0.03651362394000112,0.8999657810963363,0.03202737782595813,,,0.1788483323955012,,,,,0.4180026101299642,0.37112167964857634,,
986,0.04608914259798808,0.04092196470790272,0.8819015131748711,0.04013946967066971,,,0.24215114488223355,,,,,0.41842471754762944,,0.29928466789946734,
611,0.05211259123482017,0.04534979288225993,0.9286170577262746,0.0675210411615654,,,0.18681012014357934,,,,,0.4466889414099836,,,0.2989798972848718
779,0.05055721558803105,0.04502246129523078,0.9008218214033373,0.04078253798080582,,,0.2461824630933617,,,,,,0.43382766670187173,0.2792073322239607,
671,0.05764445347447673,0.051045996151202574,0.933363183536468,0.08388113263540342,,,0.2563158646369282,,,,,,0.36373528909954755,,0.29606771362812095
162,0.061465400916162705,0.056291822808285215,0.914260692737558,0.07755842733325469,,,0.2836394010862707,,,,,,,0.3158559582132919,0.32294621336718266
385,0.04389721992867962,0.06759334926018025,0.5014875028340803,0.2531663745125125,,,,0.1486188346991216,0.5338379469936022,0.0643768437947637,,,,,
762,0.029506346346655395,0.03303139374072906,0.5905396090690315,0.055458702844560635,,,,0.15903194430106268,0.1712708413099093,,0.6142385115444675,,,,
71,0.035927292732990064,0.03307001928392052,0.7840120234098735,0.04333466060248077,,,,0.13018354901831775,0.010653188486612212,,,0.8158286018925893,,,
722,0.0464179605689258,0.04410088761011823,0.8257874737326215,0.09611383467630531,,,,0.004530323645172344,0.23312076909445933,,,,0.6662350725840629,,
165,0.05140310000747909,0.05072076178747636,0.816294916487277,0.08010146002167463,,,,0.10939605402152071,0.13515446366804723,,,,,0.6753480222887575,
873,0.06519521698108864,0.06548174453439004,0.8429099953514667,0.12322084276276869,,,,0.15874383477419765,0.08065253237147375,,,,,,0.6373827900915598
61,0.02479966777642692,0.029699166774348085,0.4983192925536808,0.020862109919846102,,,,0.263585080315863,,0.085119352616436,0.6304334571478549,,,,
843,0.03637306069741244,0.03586235063014385,0.7353968781746488,0.0748754012295564,,,,0.21361004409243,,0.00877452727474335,,0.7027400274032704,,,
780,0.04142593269132441,0.03946446779167036,0.7963095526137409,0.06108122668453129,,,,0.09866376920433569,,0.10361753361434596,,,0.7366374704967871,,
984,0.047186228421067115,0.047943529408891204,0.7756255928494673,0.02173823745095204,,,,0.20296686125365435,,0.08687964447553798,,,,0.6884152568198557,
48,0.0636539005052171,0.06509875859240119,0.8241923757894821,0.09389071231740413,,,,0.15677676097189353,,0.07022797875069296,,,,,0.6791045479600094
480,0.03401514702061593,0.031668421644719405,0.7583310368301972,0.044218603412850235,,,,0.1559702284886934,,,0.13383844171976236,0.665972726378694,,,
756,0.044278102539141974,0.0416081189382006,0.8238320648442267,0.04849982055655037,,,,0.2132034909968472,,,0.008252231819465454,,0.7300444566271369,,
640,0.050421590422629364,0.051413729751013694,0.7862022580035131,0.020746343857703162,,,,0.1990107302215654,,,0.025836813504893606,,,0.7544061124158379,
480,0.054113882887521225,0.05280303220271713,0.8354422283584544,0.07597970166040126,,,,0.1864418097992386,,,0.2425553500153742,,,,0.495023138524986
689,0.04097750518024729,0.036679365563918605,0.8445485548615861,0.024038183635078883,,,,0.11277358409391093,,,,0.3688887080421711,0.4942995242288391,,
826,0.04297442693134958,0.04013082075476161,0.8216733750065923,0.04164319612044332,,,,0.144043311514511,,,,0.4555168463662012,,0.35879664599884453,
476,0.05007228666102528,0.04533539619567434,0.8839072782791465,0.05385988045279509,,,,0.18152662170823633,,,,0.43739010116844784,,,0.3272233966705208
985,0.046619843469929714,0.04352923609886484,0.841270069310605,0.05423910823241186,,,,0.19040407670362974,,,,,0.5316922292561548,0.22366458580780357,
569,0.05394778322015775,0.0493130141313172,0.8912005074994563,0.07301998628257016,,,,0.19307093365565015,,,,,0.43915929981435636,,0.2947497802474233
735,0.05962145102945858,0.05720397517430321,0.8674476009448588,0.0732071884293001,,,,0.1865016437650908,,,,,,0.3682845213544589,0.37200664645115034
791,0.028034856475256054,0.031304499766186364,0.5761106745023425,0.12384202392367996,,,,,0.13113001032436342,0.16556973193309527,0.5794582338188613,,,,
172,0.039008926447006854,0.036854919837272376,0.7871113700719365,0.11762648243590748,,,,,0.11700256757683088,0.05498881770285079,,0.7103821322844108,,,
834,0.04647730077364218,0.04389806098376369,0.8309547154516418,0.12369281095312422,,,,,0.1513595907941217,0.049081419597778626,,,0.6758661786549756,,
753,0.05501427419860023,0.05509703216294192,0.8169999804250196,0.06258352967818238,,,,,0.10027032184888877,0.02376424353433967,,,,0.8133819049385893,
937,0.06634068923120523,0.06686234357897985,0.8426370691696422,0.14736326576574332,,,,,0.07110372412936918,0.11551442274633003,,,,,0.6660185873585573
780,0.03862105643013464,0.03621257925390958,0.7903622724427907,0.08957528232255715,,,,,0.1468826265635279,,0.009721725285160502,0.7538203658287544,,,
355,0.049148830377521144,0.04600627428861773,0.8509454630453924,0.10580793862703843,,,,,0.008836390848094709,,0.08334444882154592,,0.802011221703321,,
362,0.0536677797284506,0.05279642706404391,0.827097251779558,0.11263480587303572,,,,,0.046241674887606304,,0.15976525004506714,,,0.6813582691942909,
152,0.05664439418492409,0.0541796654664751,0.8609206753737962,0.11865529674007663,,,,,0.03207719000680836,,0.356323294147699,,,,0.492944219105416
273,0.045129892981736815,0.0397208357352276,0.8844197845157832,0.08108926348703009,,,,,0.03407519563644174,,,0.41437329458253636,0.47046224629399186,,
834,0.04884659433996134,0.044762501827745535,0.8678378721870883,0.08139823383071366,,,,,0.06776590504464647,,,0.4146451400026499,,0.43619072112199003,
561,0.05334897299935692,0.04730124409517657,0.9164446692381464,0.07712148025711951,,,,,0.006294522741531654,,,0.589075045332131,,,0.3275089516692178
839,0.05277368612992056,0.04856983446532942,0.8806636176710397,0.0813897171998187,,,,,0.06177589503550619,,,,0.4994484769678293,0.3573859107968458,
234,0.06182447908056002,0.056430127528775756,0.9183831642792735,0.10588492596044713,,,,,0.019009042888766287,,,,0.5058369590440168,,0.3692690721067697
572,0.06665057910198928,0.06288325033790126,0.900885033734406,0.14207668276949925,,,,,0.0515940778129005,,,,,0.44852398714174463,0.3578052522758556
523,0.032693776140133385,0.02976657664114501,0.762391201840953,0.04826298037621671,,,,,,0.03050855411109714,0.38036004029708304,0.5408684252156031,,,
