,isin,nome,ticker,benchmark,ter,areaBenchmark,emittente,strumento,dataSource
108,IE00B3CNHJ55,L&G RUSSELL 2000 US SMALL CAP UCITS ETF,RTWO.MI,RUSSELL 2000 TRN INDEX,0.0045,AZIONARIO NORD AMERICA,LEGAL & GENERAL,ETF,RTWO.MI
109,LU0252633754,LYXOR DAX (DR) UCITS ETF - ACC,DAXX.MI,DAX,0.0015,AZIONARIO EUROPA - SINGOLI PAESI,LYXOR,ETF,DAXX.MI
110,LU0274208692,XTRACKERS MSCI WORLD SWAP UCITS ETF,XMWO.MI,MSCI TRN WORLD INDEX,0.0045,AZIONARIO MONDO,XTRACKERS,ETF,XMWO.MI
111,LU0274209237,XTRACKERS MSCI EUROPE UCITS ETF,XMEU.MI,MSCI TRN EUROPE INDEX,0.003,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XMEU.MI
112,LU0274209740,XTRACKERS MSCI JAPAN UCITS ETF 1C,XMJP.MI,MSCI TRN JAPAN INDEX,0.005,AZIONARIO PACIFICO,XTRACKERS,ETF,XMJP.MI
113,LU0274210672,XTRACKERS MSCI USA SWAP UCITS ETF,XMUS.MI,MSCI TRN USA INDEX,0.003,AZIONARIO NORD AMERICA,XTRACKERS,ETF,XMUS.MI
114,LU0274211217,XTRACKERS EURO STOXX 50 UCITS ETF 1D,XESX.MI,EURO STOXX 50,0.0009,AZIONARIO EUROPA - AREA,XTRACKERS,ETF,XESX.MI
115,LU0274212538,XTRACKERS FTSE MIB UCITS ETF,XMIB.MI,FTSE MIB,0.003,AZIONARIO ITALIA,XTRACKERS,ETF,XMIB.MI
116,LU0274221281,XTRACKERS SWITZERLAND UCITS ETF,XSMI.MI,SMI,0.003,AZIONARIO EUROPA - SINGOLI PAESI,XTRACKERS,ETF,XSMI.MI
117,LU0290355717,XTRACKERS II EUROZ GOVT UCITS ETF 1C,XGLE.MI,IBOXX SOVEREIGNS EUROZONE TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,XGLE.MI
118,LU0290356871,XTRACKERS II EUROZ GOVT 1-3 UCITS ETF,X13E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 1-3 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X13E.MI
119,LU0290356954,XTRACKERS II EUROZ GOVT 3-5 UCITS ETF,X35E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 3-5 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X35E.MI
120,LU0290357176,XTRACKERS II EUROZ GOVT 5-7 UCITS ETF,X57E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 5-7 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X57E.MI
121,LU0290357259,XTRACKERS II EUROZ GOVT 7-10 UCITS ETF,X710.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 7-10 TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X710.MI
122,LU0290357333,XTRACKERS II EUROZ GOVT 10-15 UCITS ETF,X105.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 10-15TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X105.MI
123,LU0290357507,XTRACKERS II EUROZ GOVT 15-30 UCITS ETF,X15E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 15-30TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X15E.MI
124,LU0290357846,XTRACKERS II EUROZ GOVT 25+ UCITS ETF,X25E.MI,MARKIT IBOXX EUR EUROZONE (DE ES FR IT NL) 25+ TR,0.0015,TITOLI DI STATO - EURO,XTRACKERS,ETF,X25E.MI
